"res_val","AIC_vals","r2_vals","Scenario"
100,804.14872955527,0.315505043137887,"Natural corridors no rivers"
300,790.767055257853,1.77909159787509,"Natural corridors no rivers"
500,782.796125487637,2.65089174643308,"Natural corridors no rivers"
700,779.61895175724,2.99838703368352,"Natural corridors no rivers"
900,770.020523738683,4.04819065932439,"Natural corridors no rivers"
1100,766.691917830673,4.41224845543462,"Natural corridors no rivers"
1300,767.620588054693,4.31067751420169,"Natural corridors no rivers"
1500,767.77162691096,4.29415802386276,"Natural corridors no rivers"
1700,767.149588086647,4.36219193647748,"Natural corridors no rivers"
1900,769.152382007881,4.1431414507252,"Natural corridors no rivers"
2100,770.508743433883,3.99479287323496,"Natural corridors no rivers"
2300,772.943908697744,3.7284528727584,"Natural corridors no rivers"
2500,774.578359726795,3.54968895298819,"Natural corridors no rivers"
2700,772.877846036439,3.7356783081342,"Natural corridors no rivers"
2900,772.276412234887,3.80145859884761,"Natural corridors no rivers"
3100,773.021677876832,3.71994706680646,"Natural corridors no rivers"
3300,775.427556012309,3.45681027142801,"Natural corridors no rivers"
3500,777.688465891516,3.20952900997042,"Natural corridors no rivers"
3700,779.288690688497,3.03450849718826,"Natural corridors no rivers"
3900,781.406449432877,2.80288402662026,"Natural corridors no rivers"
4100,783.185917830275,2.6082592014208,"Natural corridors no rivers"
4300,784.851886116387,2.42604816190666,"Natural corridors no rivers"
4500,786.665850858661,2.22765038681869,"Natural corridors no rivers"
4700,788.379896230381,2.04018103847683,"Natural corridors no rivers"
4900,789.901941080091,1.87371125837079,"Natural corridors no rivers"
5100,791.377417986767,1.71233472846571,"Natural corridors no rivers"
5300,792.78384258065,1.55851061945601,"Natural corridors no rivers"
5500,794.192069207441,1.40448941768518,"Natural corridors no rivers"
5700,795.483300926676,1.26326423604342,"Natural corridors no rivers"
5900,796.618598381662,1.13909396752438,"Natural corridors no rivers"
6100,797.73789360692,1.016673902138,"Natural corridors no rivers"
6300,798.47903353392,0.935613609664365,"Natural corridors no rivers"
6500,798.99128330463,0.87958759524972,"Natural corridors no rivers"
6700,799.398212071584,0.835080797459531,"Natural corridors no rivers"
6900,799.77852729129,0.793484788637899,"Natural corridors no rivers"
7100,800.018249827054,0.767265746654533,"Natural corridors no rivers"
7300,800.250536280693,0.741860007220319,"Natural corridors no rivers"
7500,800.413847229158,0.723998288043637,"Natural corridors no rivers"
7700,800.730843885518,0.689327585870392,"Natural corridors no rivers"
7900,801.018986479911,0.657812723258422,"Natural corridors no rivers"
8100,801.132678806356,0.64537791452941,"Natural corridors no rivers"
8300,801.257578156876,0.631717366076878,"Natural corridors no rivers"
8500,801.432383444538,0.612598482816584,"Natural corridors no rivers"
8700,801.401034221059,0.616027224315319,"Natural corridors no rivers"
8900,801.264625050238,0.630946630057716,"Natural corridors no rivers"
9100,801.112934067446,0.64753744507493,"Natural corridors no rivers"
9300,800.99949547143,0.659944502684329,"Natural corridors no rivers"
9500,801.024824323146,0.657174224018509,"Natural corridors no rivers"
9700,800.773420779962,0.684670846447055,"Natural corridors no rivers"
9900,800.452150374486,0.719808979048353,"Natural corridors no rivers"
10100,800.180800870491,0.749487140155458,"Natural corridors no rivers"
10300,799.971845767964,0.772341072466476,"Natural corridors no rivers"
10500,799.697346360494,0.802363746246082,"Natural corridors no rivers"
10700,799.568727466875,0.816431110254712,"Natural corridors no rivers"
10900,799.579868777766,0.815212557743272,"Natural corridors no rivers"
11100,799.56111060871,0.81726418472291,"Natural corridors no rivers"
11300,799.583339331023,0.814832974817237,"Natural corridors no rivers"
11500,799.766250382678,0.794827544258647,"Natural corridors no rivers"
11700,800.044804013573,0.764361450114548,"Natural corridors no rivers"
11900,800.238228477232,0.743206141886521,"Natural corridors no rivers"
12100,800.415675648512,0.723798309332147,"Natural corridors no rivers"
12300,800.610315562956,0.702510064269202,"Natural corridors no rivers"
12500,800.846342121401,0.676695260394733,"Natural corridors no rivers"
12700,801.123730874603,0.646356571782347,"Natural corridors no rivers"
12900,801.389050199992,0.617337946106589,"Natural corridors no rivers"
13100,801.641278238292,0.589751146624051,"Natural corridors no rivers"
13300,801.799343349147,0.572463177579252,"Natural corridors no rivers"
13500,801.86588103961,0.565185787098799,"Natural corridors no rivers"
13700,801.929274249063,0.558252316222529,"Natural corridors no rivers"
13900,801.9866875106,0.551972886923757,"Natural corridors no rivers"
14100,802.117445754395,0.537671536936801,"Natural corridors no rivers"
14300,802.388023121813,0.508077826301823,"Natural corridors no rivers"
14500,802.413860502749,0.505251928547379,"Natural corridors no rivers"
14700,802.444955499353,0.501850992465891,"Natural corridors no rivers"
14900,802.45159570645,0.501124736721548,"Natural corridors no rivers"
15100,802.449896993042,0.501310529175392,"Natural corridors no rivers"
16100,802.18929973049,0.529812691251341,"Natural corridors no rivers"
20100,799.95699762524,0.773965050271619,"Natural corridors no rivers"
24100,799.687099060362,0.803484518607056,"Natural corridors no rivers"
28100,801.949185313016,0.556074594298939,"Natural corridors no rivers"
32100,803.098075628987,0.430417641218861,"Natural corridors no rivers"
36100,803.114638004554,0.428606173561252,"Natural corridors no rivers"
100,805.563499072158,0.160768229421759,"Natural corridors with rivers"
300,794.061339583766,1.41878763741934,"Natural corridors with rivers"
500,781.695790983835,2.77123803118683,"Natural corridors with rivers"
700,781.56389423497,2.78566390226707,"Natural corridors with rivers"
900,775.662642857951,3.43109824624868,"Natural corridors with rivers"
1100,772.63102093773,3.76267417485566,"Natural corridors with rivers"
1300,772.245871271142,3.80479893899589,"Natural corridors with rivers"
1500,772.117371428972,3.81885328205535,"Natural corridors with rivers"
1700,770.180547282275,4.03068849168544,"Natural corridors with rivers"
1900,771.175895831127,3.92182477844613,"Natural corridors with rivers"
2100,772.68357692428,3.75692599764134,"Natural corridors with rivers"
2300,775.836085001835,3.41212845336837,"Natural corridors with rivers"
2500,777.154501610799,3.26792999362898,"Natural corridors with rivers"
2700,775.224983098075,3.47896616814448,"Natural corridors with rivers"
2900,774.272788197867,3.58311006093844,"Natural corridors with rivers"
3100,774.792828616563,3.52623196423646,"Natural corridors with rivers"
3300,777.069424698756,3.27723506426645,"Natural corridors with rivers"
3500,778.966072634815,3.06979402538079,"Natural corridors with rivers"
3700,780.637845485518,2.8869481263937,"Natural corridors with rivers"
3900,782.790251797731,2.65153416631139,"Natural corridors with rivers"
4100,784.729510244263,2.43943271133472,"Natural corridors with rivers"
4300,786.413607632351,2.25523884745111,"Natural corridors with rivers"
4500,788.267495645583,2.05247456625213,"Natural corridors with rivers"
4700,789.942205115925,1.86930748196911,"Natural corridors with rivers"
4900,791.484796176007,1.7005905124169,"Natural corridors with rivers"
5100,792.728134111712,1.56460359140483,"Natural corridors with rivers"
5300,793.92862329898,1.43330314315431,"Natural corridors with rivers"
5500,795.271328043675,1.2864482304102,"Natural corridors with rivers"
5700,796.43986053334,1.15864296459399,"Natural corridors with rivers"
5900,797.476693842969,1.04524196127036,"Natural corridors with rivers"
6100,798.523579437815,0.930741514845623,"Natural corridors with rivers"
6300,799.239395557465,0.85245094932308,"Natural corridors with rivers"
6500,799.620336714057,0.810786480248304,"Natural corridors with rivers"
6700,799.975077178636,0.771987645151839,"Natural corridors with rivers"
6900,800.315981184441,0.734702137504351,"Natural corridors with rivers"
7100,800.494336398136,0.715194990122892,"Natural corridors with rivers"
7300,800.649373438104,0.698238208621504,"Natural corridors with rivers"
7500,800.749379188882,0.687300334258312,"Natural corridors with rivers"
7700,801.039733741782,0.655543544316572,"Natural corridors with rivers"
7900,801.286077518162,0.628600320999406,"Natural corridors with rivers"
8100,801.391597773734,0.617059311714951,"Natural corridors with rivers"
8300,801.488114364416,0.606503055353325,"Natural corridors with rivers"
8500,801.593766866632,0.594947581928973,"Natural corridors with rivers"
8700,801.564651972492,0.59813194934516,"Natural corridors with rivers"
8900,801.207733939709,0.637168950419409,"Natural corridors with rivers"
9100,800.951164744471,0.665230552888896,"Natural corridors with rivers"
9300,800.80527198397,0.681187202106115,"Natural corridors with rivers"
9500,800.88117122881,0.672885915451438,"Natural corridors with rivers"
9700,800.64074243627,0.699182202471382,"Natural corridors with rivers"
9900,800.359880255434,0.729900788387472,"Natural corridors with rivers"
10100,800.102086736908,0.758096298099331,"Natural corridors with rivers"
10300,799.870399037896,0.783436550270677,"Natural corridors with rivers"
10500,799.673540580843,0.804967442782711,"Natural corridors with rivers"
10700,799.55187145402,0.81827469374306,"Natural corridors with rivers"
10900,799.643271397417,0.808278057650491,"Natural corridors with rivers"
11100,799.652715234533,0.80724516201125,"Natural corridors with rivers"
11300,799.699725518117,0.802103531938725,"Natural corridors with rivers"
11500,799.870719887859,0.783401458122879,"Natural corridors with rivers"
11700,800.148020796958,0.753072377235631,"Natural corridors with rivers"
11900,800.344960172635,0.731532634455045,"Natural corridors with rivers"
12100,800.523647305695,0.711989184238104,"Natural corridors with rivers"
12300,800.692298796973,0.693543356789028,"Natural corridors with rivers"
12500,800.918151471414,0.668841295573264,"Natural corridors with rivers"
12700,801.184415492309,0.639719346231948,"Natural corridors with rivers"
12900,801.416270578142,0.61436078655317,"Natural corridors with rivers"
13100,801.60727465003,0.593470202512458,"Natural corridors with rivers"
13300,801.72197316579,0.580925344389027,"Natural corridors with rivers"
13500,801.76159212471,0.576592121632369,"Natural corridors with rivers"
13700,801.805668124337,0.571771421396594,"Natural corridors with rivers"
13900,801.856472932199,0.566214774892571,"Natural corridors with rivers"
14100,801.981813701865,0.552505947344795,"Natural corridors with rivers"
14300,802.278926879749,0.520009950003864,"Natural corridors with rivers"
14500,802.325940183367,0.514867989622814,"Natural corridors with rivers"
14700,802.3290563501,0.514527166820644,"Natural corridors with rivers"
14900,802.333696990437,0.51401960859947,"Natural corridors with rivers"
15100,802.361888932274,0.510936186741462,"Natural corridors with rivers"
16100,802.219106168982,0.526552687932424,"Natural corridors with rivers"
20100,800.133802599217,0.754627456412038,"Natural corridors with rivers"
24100,799.627570026671,0.809995355098037,"Natural corridors with rivers"
28100,801.928419838768,0.558345765173107,"Natural corridors with rivers"
32100,803.09315769246,0.430955528004739,"Natural corridors with rivers"
36100,803.13820952657,0.42602809835699,"Natural corridors with rivers"
100,806.292306630933,0.081056758322795,"Natural corridors with rivers as barriers"
300,804.735599522118,0.251317634763792,"Natural corridors with rivers as barriers"
500,802.190555457297,0.529675349328973,"Natural corridors with rivers as barriers"
700,799.964359922274,0.773159817778912,"Natural corridors with rivers as barriers"
900,802.68165804417,0.475962254303053,"Natural corridors with rivers as barriers"
1100,803.866136270411,0.346412964148801,"Natural corridors with rivers as barriers"
1300,804.434490785646,0.284250636152006,"Natural corridors with rivers as barriers"
1500,804.57814718506,0.268538583234612,"Natural corridors with rivers as barriers"
1700,804.933626970843,0.229658886763984,"Natural corridors with rivers as barriers"
1900,805.117194000773,0.209581710251794,"Natural corridors with rivers as barriers"
2100,805.467544778647,0.17126298596194,"Natural corridors with rivers as barriers"
2300,805.692405473893,0.146669419944967,"Natural corridors with rivers as barriers"
2500,805.81417893883,0.133350757269202,"Natural corridors with rivers as barriers"
2700,805.950369031828,0.118455312605747,"Natural corridors with rivers as barriers"
2900,806.251121581182,0.0855612682766793,"Natural corridors with rivers as barriers"
3100,806.387842486666,0.0706077673491734,"Natural corridors with rivers as barriers"
3300,806.569017098138,0.0507922555143425,"Natural corridors with rivers as barriers"
3500,806.626233098857,0.0445344011153814,"Natural corridors with rivers as barriers"
3700,806.734855667931,0.0326540841905643,"Natural corridors with rivers as barriers"
3900,806.7615783364,0.0297313603662808,"Natural corridors with rivers as barriers"
4100,806.750401660915,0.0309537807900773,"Natural corridors with rivers as barriers"
4300,806.730586447384,0.0331210193179055,"Natural corridors with rivers as barriers"
4500,806.697063297086,0.0367875285272046,"Natural corridors with rivers as barriers"
4700,806.700197600699,0.036444722049922,"Natural corridors with rivers as barriers"
4900,806.651252500042,0.0417979678135172,"Natural corridors with rivers as barriers"
5100,806.570816252802,0.0505954775538164,"Natural corridors with rivers as barriers"
5300,806.487273217614,0.0597327843157025,"Natural corridors with rivers as barriers"
5500,806.365559196413,0.0730449454843018,"Natural corridors with rivers as barriers"
5700,806.241762611004,0.0865848818107251,"Natural corridors with rivers as barriers"
5900,806.160067253004,0.0955201035845898,"Natural corridors with rivers as barriers"
6100,806.060927583715,0.106363252490072,"Natural corridors with rivers as barriers"
6300,806.031197919202,0.109614858850537,"Natural corridors with rivers as barriers"
6500,806.043580005169,0.108260599724253,"Natural corridors with rivers as barriers"
6700,805.979850972866,0.115230800369803,"Natural corridors with rivers as barriers"
6900,805.858328736672,0.128521985541519,"Natural corridors with rivers as barriers"
7100,805.958209810632,0.117597747387821,"Natural corridors with rivers as barriers"
7300,806.113120020847,0.100654837567771,"Natural corridors with rivers as barriers"
7500,806.069599266632,0.10541480925037,"Natural corridors with rivers as barriers"
7700,806.016435429611,0.111229468562279,"Natural corridors with rivers as barriers"
7900,806.106949222295,0.101329752947699,"Natural corridors with rivers as barriers"
8100,806.089698857381,0.103216467688372,"Natural corridors with rivers as barriers"
8300,806.002558408751,0.112747232386068,"Natural corridors with rivers as barriers"
8500,805.843506965795,0.130143078992995,"Natural corridors with rivers as barriers"
8700,805.592367139823,0.15761085802285,"Natural corridors with rivers as barriers"
8900,805.47503957735,0.17044326143657,"Natural corridors with rivers as barriers"
9100,805.338604025076,0.185365552583261,"Natural corridors with rivers as barriers"
9300,805.312621026627,0.188207376882443,"Natural corridors with rivers as barriers"
9500,805.304021205304,0.189147960443337,"Natural corridors with rivers as barriers"
9700,805.183667076034,0.202311386894405,"Natural corridors with rivers as barriers"
9900,805.169151688997,0.203898970393479,"Natural corridors with rivers as barriers"
10100,805.202911605473,0.200206565486183,"Natural corridors with rivers as barriers"
10300,805.183185837102,0.202364021177392,"Natural corridors with rivers as barriers"
10500,805.197332082843,0.200816811567617,"Natural corridors with rivers as barriers"
10700,805.176884464356,0.20305321777726,"Natural corridors with rivers as barriers"
10900,805.12262691651,0.208987498925983,"Natural corridors with rivers as barriers"
11100,804.988945810973,0.223608529474006,"Natural corridors with rivers as barriers"
11300,804.937551729092,0.229229626323491,"Natural corridors with rivers as barriers"
11500,804.985025942043,0.224037255157694,"Natural corridors with rivers as barriers"
11700,804.955344235365,0.227283616251939,"Natural corridors with rivers as barriers"
11900,804.920451122731,0.231099961603698,"Natural corridors with rivers as barriers"
12100,804.861019596798,0.237600133431981,"Natural corridors with rivers as barriers"
12300,804.779660073465,0.246498624144309,"Natural corridors with rivers as barriers"
12500,804.78448914387,0.245970456864142,"Natural corridors with rivers as barriers"
12700,804.72041100848,0.252978839770923,"Natural corridors with rivers as barriers"
12900,804.715373955464,0.253529754619553,"Natural corridors with rivers as barriers"
13100,804.664075468604,0.259140396006952,"Natural corridors with rivers as barriers"
13300,804.632029441766,0.262645348598911,"Natural corridors with rivers as barriers"
13500,804.588498168604,0.267406470764464,"Natural corridors with rivers as barriers"
13700,804.556919520442,0.270860305003806,"Natural corridors with rivers as barriers"
13900,804.488253730339,0.278370450963983,"Natural corridors with rivers as barriers"
14100,804.574827291185,0.268901688174283,"Natural corridors with rivers as barriers"
14300,804.81736599884,0.242374634560771,"Natural corridors with rivers as barriers"
14500,805.003083149118,0.22206229410997,"Natural corridors with rivers as barriers"
14700,805.128805650538,0.208311715623533,"Natural corridors with rivers as barriers"
14900,805.287279084158,0.190979087316023,"Natural corridors with rivers as barriers"
15100,805.309283700886,0.188572388388109,"Natural corridors with rivers as barriers"
16100,805.278098551456,0.191983184705402,"Natural corridors with rivers as barriers"
20100,805.154217033087,0.205532410358067,"Natural corridors with rivers as barriers"
24100,805.182398577348,0.202450125708498,"Natural corridors with rivers as barriers"
28100,805.142061651174,0.206861874305519,"Natural corridors with rivers as barriers"
32100,804.589795331225,0.267264596905614,"Natural corridors with rivers as barriers"
36100,804.354784002153,0.292968362652379,"Natural corridors with rivers as barriers"
